Game,Owners,Price,_id,developer,genre,release date,reviews
Moonlighter,"500,000 - 1,000,000",19.99,60c187a2e67d88c2e62da5d1,Digital Sun,"Action,Adventure,Indie",2018-05-29T00:00:00.000Z, 77% 
Battlerite,"2,000,000 - 5,000,000",0,60c187a2e67d88c2e62da5d2,Stunlock Studios,"Action,Free to Play",2017-11-08T00:00:00.000Z, 83% 
Yakuza Kiwami,"200,000 - 500,000",19.99,60c187a2e67d88c2e62da5d3,SEGA,"Action,Adventure,RPG",2019-02-19T00:00:00.000Z, 92% 
Firewatch,"1,000,000 - 2,000,000",19.99,60c187a2e67d88c2e62da5d4,Campo Santo,"Adventure,Indie",2016-02-09T00:00:00.000Z, 85% 
Saints Row IV,"2,000,000 - 5,000,000",14.99,60c187a2e67d88c2e62da5d5,Deep Silver Volition,"Action,Adventure",2013-08-19T00:00:00.000Z, 91% 
Lobotomy Corporation | Monster Management Simulation,"500,000 - 1,000,000",24.99,60c187a2e67d88c2e62da5d6,Project Moon,"Indie,Simulation",2018-04-09T00:00:00.000Z, 89% 
911 Operator,"500,000 - 1,000,000",88.94,60c187a2e67d88c2e62da5d7,Jutsu Games,"Casual,Indie,Simulation,Strategy",2017-02-24T00:00:00.000Z, 82% 
Geometry Dash,"2,000,000 - 5,000,000",3.99,60c187a2e67d88c2e62da5d8,RobTop Games,"Action,Indie",2014-12-22T00:00:00.000Z, 94% 
Black Mesa,"2,000,000 - 5,000,000",19.99,60c187a2e67d88c2e62da5d9,Crowbar Collective,"Action,Adventure,Indie,Early Access",2015-05-05T00:00:00.000Z, 93% 
Unturned,"20,000,000 - 50,000,000",0,60c187a2e67d88c2e62da5da,Smartly Dressed Games,"Action,Adventure,Casual,Free to Play,Indie",2017-07-07T00:00:00.000Z, 90% 
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,"1,000,000 - 2,000,000",29.99,60c187a2e67d88c2e62da5db,CyberConnect2 Co. Ltd.,"Action,Adventure",2016-02-04T00:00:00.000Z, 82% 
Star Trek Timelines,"200,000 - 500,000",0,60c187a2e67d88c2e62da5dc,Disruptor Beam Inc.,"Adventure,Free to Play,RPG,Strategy",2016-01-14T00:00:00.000Z, 51% 
Railway Empire,"500,000 - 1,000,000",49.99,60c187a2e67d88c2e62da5dd,Gaming Minds Studios,"Simulation,Strategy",2018-01-26T00:00:00.000Z, 79% 
AdVenture Capitalist,"5,000,000 - 10,000,000",0,60c187a2e67d88c2e62da5de,Hyper Hippo Games,"Casual,Free to Play,Indie",2015-03-30T00:00:00.000Z, 89% 
Lethal League Blaze,"200,000 - 500,000",19.99,60c187a2e67d88c2e62da5df,Team Reptile,"Action,Indie,Sports",2018-10-24T00:00:00.000Z, 96% 
Getting Over It with Bennett Foddy,"2,000,000 - 5,000,000",7.99,60c187a2e67d88c2e62da5e0,Bennett Foddy,Action,2017-12-06T00:00:00.000Z, 79% 
Saints Row: The Third,"2,000,000 - 5,000,000",9.99,60c187a2e67d88c2e62da5e1,Volition,Action,2011-11-14T00:00:00.000Z, 95% 
Super Animal Royale,"500,000 - 1,000,000",12.99,60c187a2e67d88c2e62da5e2,Pixile,"Action,Adventure,Casual,Indie,Massively Multiplayer,Early Access",2018-12-12T00:00:00.000Z, 96% 
Workers & Resources: Soviet Republic,"200,000 - 500,000",24.99,60c187a2e67d88c2e62da5e3,3Division,"Indie,Simulation,Strategy,Early Access",2019-03-15T00:00:00.000Z, 81% 
FTL: Faster Than Light,"1,000,000 - 2,000,000",9.99,60c187a2e67d88c2e62da5e4,Subset Games,"Indie,Simulation,Strategy",2012-09-14T00:00:00.000Z, 96% 
Total War: NAPOLEON – Definitive Edition,"1,000,000 - 2,000,000",24.99,60c187a2e67d88c2e62da5e5,"CREATIVE ASSEMBLY,Feral Interactive (Mac)",Strategy,2010-02-25T00:00:00.000Z, 88% 
